local,ensino_secundario_completo,Edificios Concluidos,Vendas,Taxa_Criminalidade,retencao_desistencia_ensino_basico,Total_Pedidos_Residencia,empregada_por_conta_outrem_com_ensino_superior,taxa_bruta_escolarizacao_ensino_secundario,Densidade_alojamentos,ganho_mensal,Taxa de crescimento efetivo,Valor_Medio_Pensoes,Estabelecimentos,Saldo migratório,votos_por_partido_ou_coligacao_x,populacao_ativa,votos_por_partido_ou_coligacao_y,residente_empregada_estudante,valor_processado_IRS,num_estabelecimentos_ensino_nao_superior,Total_Crimes,Desemprego,Idade da população residente,taxa_de_abstenção,Volume de negócios,Duracao_Sub_desemprego,poder_de_compra,Sessões de espetáculos ao vivo,Pessoal ao serviço dos estabelecimentos ,Beneficiários_Abono_Familia,pop_empregada_outrem_escalão,Rendas,Bens imóveis,Valor médio dos bilhetes vendidos,Alojamentos,taxa_emprego,credito_habitacao_permanente,votos_nulos_assembleias_municipais,pop_inscrita_eleicoes_assembleias_municipais,Beneficiários_RSI_1000_habitantes,Despesas em bibliotecas e arquivos,Indice Renovacao,Densidade populacional,rendimento_bruto,matriculados_ensino_nao_superior
Montijo,2.0,1.0,2.0,39.3,1.0,2863.0,0.0,1.0,0.0,0.0,1.97,6438.0,0.0,1133.0,0.0,1.0,0.0,0.0,2218.0,0.0,2324.0,2186.0,23.3,2.0,0.0,173.0,1.0,0.0,0.0,4960.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,38.63,0.0,92.1,166.5,2.0,0.0
Monção,0.0,0.0,1.0,18.2,0.0,451.0,0.0,2.0,0.0,0.0,0.65,4197.0,0.0,310.0,2.0,0.0,2.0,0.0,171.0,0.0,329.0,344.0,33.4,1.0,0.0,171.0,0.0,0.0,0.0,1266.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.81,0.0,57.1,84.8,0.0,0.0
Mora,0.0,0.0,,28.4,0.0,24.0,0.0,1.0,0.0,0.0,-0.53,5820.0,0.0,58.0,1.0,0.0,1.0,0.0,61.0,0.0,118.0,82.0,34.3,1.0,0.0,138.0,0.0,0.0,0.0,276.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.61,0.0,60.6,9.4,1.0,0.0
Mortágua,0.0,0.0,0.0,23.2,0.0,179.0,1.0,1.0,0.0,1.0,1.27,4599.0,0.0,192.0,2.0,0.0,2.0,0.0,96.0,0.0,210.0,161.0,33.2,1.0,0.0,151.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.1,0.0,63.2,35.6,1.0,0.0
Moura,0.0,0.0,0.0,31.6,2.0,41.0,0.0,1.0,0.0,0.0,-0.05,4664.0,0.0,75.0,0.0,0.0,0.0,0.0,2076.0,0.0,421.0,438.0,23.7,1.0,0.0,166.0,0.0,0.0,0.0,1335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.55,0.0,76.2,13.9,0.0,0.0
Mourão,0.0,0.0,,64.8,2.0,16.0,0.0,0.0,0.0,0.0,1.16,5116.0,0.0,35.0,1.0,0.0,1.0,0.0,418.0,0.0,157.0,95.0,25.3,0.0,0.0,183.0,0.0,0.0,0.0,226.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.74,0.0,78.2,8.6,0.0,0.0
Murtosa,0.0,1.0,0.0,32.2,1.0,121.0,0.0,0.0,0.0,0.0,2.88,5181.0,0.0,358.0,2.0,0.0,2.0,0.0,67.0,0.0,355.0,301.0,26.3,2.0,0.0,162.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.6,0.0,78.7,146.7,0.0,0.0
Murça,0.0,0.0,,21.3,0.0,20.0,1.0,2.0,0.0,0.0,0.63,4173.0,0.0,93.0,2.0,0.0,2.0,0.0,354.0,0.0,112.0,106.0,34.4,1.0,0.0,210.0,0.0,0.0,0.0,368.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,70.89,0.0,57.7,27.6,0.0,0.0
Mértola,0.0,0.0,,22.3,0.0,90.0,0.0,2.0,0.0,0.0,-0.68,4940.0,0.0,57.0,2.0,0.0,2.0,0.0,194.0,0.0,137.0,179.0,36.8,0.0,0.0,187.0,0.0,0.0,0.0,362.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.65,0.0,48.6,4.8,0.0,0.0
Mêda,0.0,0.0,,24.7,0.0,20.0,0.0,1.0,0.0,0.0,-0.09,4109.0,0.0,65.0,1.0,0.0,1.0,0.0,74.0,0.0,113.0,49.0,36.0,0.0,0.0,151.0,0.0,0.0,0.0,301.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,22.36,0.0,53.7,16.0,0.0,0.0
Nazaré,1.0,0.0,1.0,38.5,0.0,711.0,0.0,1.0,0.0,0.0,2.23,5876.0,0.0,379.0,0.0,0.0,0.0,0.0,157.0,0.0,604.0,552.0,27.6,2.0,0.0,173.0,1.0,0.0,0.0,1245.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,13.14,0.0,72.2,186.2,1.0,0.0
