local,codigo,Valor mediano das vendas por m2
União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,1A0110922,2148
Odivelas,1A01116,2765
Odivelas,1A0111603,2836
União das freguesias de Pontinha e Famões,1A0111608,2753
União das freguesias de Póvoa de Santo Adrião e Olival Basto,1A0111609,2561
União das freguesias de Ramada e Caneças,1A0111610,2768
Oeiras,1A01110,3471
Barcarena,1A0111002,2943
Porto Salvo,1A0111009,3141
"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",1A0111012,3571
União das freguesias de Carnaxide e Queijas,1A0111013,3271
"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1A0111014,3704
Sintra,1A01111,2226
Algueirão-Mem Martins,1A0111102,2108
Casal de Cambra,1A0111115,2332
Colares,1A0111105,3182
Rio de Mouro,1A0111108,2178
União das freguesias de Agualva e Mira-Sintra,1A0111122,2143
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",1A0111123,1623
União das freguesias de Massamá e Monte Abraão,1A0111125,2281
União das freguesias de Queluz e Belas,1A0111126,2321
União das freguesias de São João das Lampas e Terrugem,1A0111127,2362
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1A0111128,2767
União das freguesias do Cacém e São Marcos,1A0111124,2250
Vila Franca de Xira,1A01114,2102
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",1A0111412,1813
União das freguesias de Alverca do Ribatejo e Sobralinho,1A0111413,2187
União das freguesias de Castanheira do Ribatejo e Cachoeiras,1A0111414,1723
União das freguesias de Póvoa de Santa Iria e Forte da Casa,1A0111415,2290
Vialonga,1A0111408,2104
Vila Franca de Xira,1A0111409,1905
Península de Setúbal,1B,2117
Península de Setúbal,1B0,2117
Alcochete,1B01502,2106
Alcochete,1B0150201,2213
Samouco,1B0150202,1806
São Francisco,1B0150203,2309
Almada,1B01503,2644
Costa da Caparica,1B0150303,3554
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1B0150312,2630
União das freguesias de Caparica e Trafaria,1B0150313,2595
União das freguesias de Charneca de Caparica e Sobreda,1B0150314,2709
União das freguesias de Laranjeiro e Feijó,1B0150315,2326
Barreiro,1B01504,1942
Santo António da Charneca,1B0150407,1802
"União das freguesias de Alto do Seixalinho, Santo André e Verderena",1B0150409,1956
União das freguesias de Barreiro e Lavradio,1B0150410,1972
União das freguesias de Palhais e Coina,1B0150411,2006
Moita,1B01506,1713
Alhos Vedros,1B0150601,1833
Moita,1B0150603,1705
União das freguesias de Baixa da Banheira e Vale da Amoreira,1B0150607,1677
União das freguesias de Gaio-Rosário e Sarilhos Pequenos,1B0150608,0
Montijo,1B01507,2040
Canha,1B0150701,0
Sarilhos Grandes,1B0150704,0
União das freguesias de Atalaia e Alto Estanqueiro-Jardia,1B0150709,1893
União das freguesias de Montijo e Afonsoeiro,1B0150710,2094
União das freguesias de Pegões,1B0150711,1419
Palmela,1B01508,1921
Palmela,1B0150802,1963
Pinhal Novo,1B0150803,1908
Quinta do Anjo,1B0150804,1925
União das freguesias de Poceirão e Marateca,1B0150806,1686
Seixal,1B01510,2171
Amora,1B0151002,1988
