local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
Sobradelo da Goma,030925,693
Taíde,030926,1651
Travassos,030927,595
União das freguesias de Águas Santas e Moure,030930,582
União das freguesias de Calvos e Frades,030931,742
União das freguesias de Campos e Louredo,030932,1391
União das freguesias de Esperança e Brunhais,030933,571
União das freguesias de Fonte Arcada e Oliveira,030934,1573
"União das freguesias de Verim, Friande e Ajude",030935,650
Vilela,030929,596
Vieira do Minho,0311,11712
Cantelães,031105,711
Eira Vedra,031107,614
Guilhofrei,031108,895
Louredo,031109,394
Mosteiro,031110,688
Parada de Bouro,031111,400
Pinheiro,031112,372
Rossas,031113,1454
Salamonde,031115,325
Tabuaças,031118,887
União das freguesias de Anissó e Soutelo,031122,345
União das freguesias de Anjos e Vilar do Chão,031123,565
União das freguesias de Caniçada e Soengas,031124,507
União das freguesias de Ruivães e Campos,031125,761
União das freguesias de Ventosa e Cova,031126,530
Vieira do Minho,031120,2264
Vila Nova de Famalicão,0312,132323
Bairro,031204,3150
Brufe,031206,2255
Castelões,031210,2035
Cruz,031212,1651
Delães,031213,3942
Fradelos,031215,3895
Gavião,031216,3731
Joane,031219,7897
Landim,031221,2822
Louro,031223,2212
Lousado,031224,3841
Mogege,031225,1874
Nine,031227,3019
Oliveira (Santa Maria),031239,3272
Oliveira (São Mateus),031242,2366
Pedome,031230,1997
Pousada de Saramagos,031232,2160
Requião,031233,3158
Riba de Ave,031234,3176
Ribeirão,031235,8977
União das freguesias de Antas e Abade de Vermoim,031250,8142
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,031251,3482
União das freguesias de Avidos e Lagoa,031252,2506
União das freguesias de Carreira e Bente,031253,2344
União das freguesias de Esmeriz e Cabeçudos,031254,3609
"União das freguesias de Gondifelos, Cavalões e Outiz",031255,5034
"União das freguesias de Lemenhe, Mouquim e Jesufrei",031256,3141
União das freguesias de Ruivães e Novais,031257,2805
União das freguesias de Seide,031258,1514
"União das freguesias de Vale (São Cosme), Telhado e Portela",031259,5199
União das freguesias de Vila Nova de Famalicão e Calendário,031260,20847
Vale (São Martinho),031241,2021
Vermoim,031247,2889
Vilarinho das Cambas,031249,1360
Vizela,0314,23714
Infias,031404,1811
Santa Eulália,031401,5355
União das freguesias de Caldas de Vizela (São Miguel e São João),031408,10925
União das freguesias de Tagilde e Vizela (São Paio),031409,3359
Vizela (Santo Adrião),031406,2264
Área Metropolitana do Porto,11A,1719095
Arouca,0104,20846
Alvarenga,010402,996
Chave,010407,1240
Escariz,010409,2111
Fermedo,010411,1261
Mansores,010413,1100
Moldes,010414,1126
Rossas,010415,1490
Santa Eulália,010416,2120
São Miguel do Mato,010417,550
Tropeço,010418,1083
União das freguesias de Arouca e Burgo,010421,4930
União das freguesias de Cabreiros e Albergaria da Serra,010422,185
União das freguesias de Canelas e Espiunca,010423,1049
União das freguesias de Covelo de Paivó e Janarde,010424,171
Urrô,010419,900
Várzea,010420,534
Espinho,0107,30727
Espinho,010702,10396
Paramos,010704,3099
Silvalde,010705,6083
União das freguesias de Anta e Guetim,010706,11149
Gondomar,1304,163502
Baguim do Monte (Rio Tinto),130412,14319
Lomba,130405,1238
Rio Tinto,130408,50897
União das freguesias de Fânzeres e São Pedro da Cova,130413,37681
União das freguesias de Foz do Sousa e Covelo,130414,6994
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",130415,47085
União das freguesias de Melres e Medas,130416,5288
Maia,1306,134058
Águas Santas,130601,26505
Castêlo da Maia,130618,18501
Cidade da Maia,130619,40388
Folgosa,130603,3602
Milheirós,130608,4685
Moreira,130609,13080
Nogueira e Silva Escura,130620,8302
Pedrouços,130617,11369
São Pedro Fins,130613,1799
Vila Nova da Telha,130616,5827
Matosinhos,1308,169979
"União das freguesias de Custóias, Leça do Balio e Guifões",130811,42853
União das freguesias de Matosinhos e Leça da Palmeira,130812,48757
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",130813,28790
União das freguesias de São Mamede de Infesta e Senhora da Hora,130814,49579
Oliveira de Azeméis,0113,65610
Carregosa,011301,3466
Cesar,011302,3038
Fajões,011303,2833
Loureiro,011304,3638
Macieira de Sarnes,011305,1856
Ossela,011310,1918
São Martinho da Gândara,011315,1854
São Roque,011318,5003
União das freguesias de Nogueira do Cravo e Pindelo,011320,5083
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",011321,20385
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",011322,6676
Vila de Cucujães,011319,9860
Paredes,1310,83878
Aguiar de Sousa,131001,1582
Astromil,131002,1067
Baltar,131003,4715
Beire,131004,1986
Cete,131008,3091
Cristelo,131009,1761
Duas Igrejas,131010,3642
Gandra,131011,6960
Lordelo,131013,9015
Louredo,131014,1384
Parada de Todeia,131017,1789
Paredes,131025,20449
Rebordosa,131018,8401
Recarei,131019,4428
Sobreira,131020,4121
Sobrosa,131021,2451
Vandoma,131022,2305
Vilela,131024,4731
Porto,1312,227479
Bonfim,131202,22367
Campanhã,131203,29367
Paranhos,131210,45090
Ramalde,131211,38454
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",131216,28712
